origin,destination,mode,commodity,vehicle_or_aircraft_type,distance_km,cargo_weight_tonnes,tonne_km,cost_inr,time_hours,co2_kg,environmental_cost_inr,emission_factor_kgco2_per_tkm,base_rate_inr_per_tkm,distance_source
Mumbai,Delhi,Road,Cement,12-16t,1499.2,5,7496.1,15192.28,37.47,374.8,2675.35,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Cement,Freight Rake,1366,5,6830,5201.44,25.83,72.4,516.78,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Cement,Belly Cargo (Domestic),1210.9,5,6054.5,54301.86,6.59,9566.14,68283.08,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Cement,12-16t,1499.2,10,14992.1,29548.92,39.89,749.61,5350.69,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Cement,Freight Rake,1366,10,13660,11192.49,28.19,144.8,1033.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Cement,Belly Cargo (Domestic),1210.9,10,12109.0,99079.48,6.55,19132.27,136566.16,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Cement,25-40t,1499.2,20,29984.3,41925.01,39.21,1199.37,8561.11,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Cement,Freight Rake,1366,20,27320,23543.99,27.12,289.59,2067.11,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Cement,Belly Cargo (Domestic),1210.9,20,24218.1,211402.12,6.16,38264.55,273132.33,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Cement,>40t,1499.2,50,74960.7,92982.8,37.18,2998.43,21402.77,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Cement,Freight Rake,1366,50,68300,51899.06,26.2,723.98,5167.77,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Cement,Belly Cargo (Domestic),1210.9,50,60545.2,467214.93,6.34,95661.37,682830.82,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Containerized Goods,12-16t,1499.2,5,7496.1,30647.04,37.65,374.8,2675.35,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Containerized Goods,Freight Rake,1366,5,6830,11679.09,26.13,72.4,516.78,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Containerized Goods,Belly Cargo (Domestic),1210.9,5,6054.5,103763.75,6.85,9566.14,68283.08,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Containerized Goods,12-16t,1499.2,10,14992.1,61441.49,39.15,749.61,5350.69,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Containerized Goods,Freight Rake,1366,10,13660,22598.51,27.53,144.8,1033.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Containerized Goods,Belly Cargo (Domestic),1210.9,10,12109.0,203018.42,6.42,19132.27,136566.16,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Containerized Goods,25-40t,1499.2,20,29984.3,92569.37,39.34,1199.37,8561.11,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Containerized Goods,Freight Rake,1366,20,27320,48141.98,27.41,289.59,2067.11,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Containerized Goods,Belly Cargo (Domestic),1210.9,20,24218.1,465195.68,6.73,38264.55,273132.33,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Containerized Goods,>40t,1499.2,50,74960.7,199363.85,35.6,2998.43,21402.77,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Containerized Goods,Freight Rake,1366,50,68300,115746.5,26.29,723.98,5167.77,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Containerized Goods,Belly Cargo (Domestic),1210.9,50,60545.2,1025449.0,6.86,95661.37,682830.82,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,General Goods,12-16t,1499.2,5,7496.1,24987.0,37.34,374.8,2675.35,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,General Goods,Freight Rake,1366,5,6830,9519.81,26.64,72.4,516.78,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,General Goods,Belly Cargo (Domestic),1210.9,5,6054.5,91790.91,6.48,9566.14,68283.08,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,General Goods,12-16t,1499.2,10,14992.1,44290.16,36.92,749.61,5350.69,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,General Goods,Freight Rake,1366,10,13660,18760.01,26.28,144.8,1033.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,General Goods,Belly Cargo (Domestic),1210.9,10,12109.0,172394.38,6.82,19132.27,136566.16,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,General Goods,25-40t,1499.2,20,29984.3,64344.37,36.75,1199.37,8561.11,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,General Goods,Freight Rake,1366,20,27320,40112.98,26.94,289.59,2067.11,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,General Goods,Belly Cargo (Domestic),1210.9,20,24218.1,311312.27,6.16,38264.55,273132.33,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,General Goods,>40t,1499.2,50,74960.7,151347.59,39.27,2998.43,21402.77,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,General Goods,Freight Rake,1366,50,68300,97228.91,26.71,723.98,5167.77,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,General Goods,Belly Cargo (Domestic),1210.9,50,60545.2,773638.74,6.42,95661.37,682830.82,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Automobile Parts,12-16t,1499.2,5,7496.1,47281.14,38.66,374.8,2675.35,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Automobile Parts,Freight Rake,1366,5,6830,18489.49,27.89,72.4,516.78,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Automobile Parts,Belly Cargo (Domestic),1210.9,5,6054.5,141567.34,6.69,9566.14,68283.08,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Automobile Parts,12-16t,1499.2,10,14992.1,89152.76,38.71,749.61,5350.69,0.05,3.1,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Automobile Parts,Freight Rake,1366,10,13660,33104.22,27.3,144.8,1033.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Automobile Parts,Belly Cargo (Domestic),1210.9,10,12109.0,289415.02,6.46,19132.27,136566.16,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Automobile Parts,25-40t,1499.2,20,29984.3,120422.0,41.27,1199.37,8561.11,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Automobile Parts,Freight Rake,1366,20,27320,72910.12,26.28,289.59,2067.11,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Automobile Parts,Belly Cargo (Domestic),1210.9,20,24218.1,627660.56,6.26,38264.55,273132.33,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Delhi,Road,Automobile Parts,>40t,1499.2,50,74960.7,328944.2,40.76,2998.43,21402.77,0.04,2.19,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Delhi,Rail,Automobile Parts,Freight Rake,1366,50,68300,166390.96,27.29,723.98,5167.77,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Maharashtra Sampark Kranti Express)
Mumbai,Delhi,Air,Automobile Parts,Belly Cargo (Domestic),1210.9,50,60545.2,1603161.62,6.24,95661.37,682830.82,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Coal,12-16t,156.2,5,781.0,1841.96,4.94,39.05,278.74,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Coal,Freight Rake,192,5,960,823.74,10.03,10.18,72.64,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Coal,Belly Cargo (Domestic),126.2,5,630.8,4801.25,5.05,996.66,7114.18,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Coal,12-16t,156.2,10,1562.0,3163.77,5.24,78.1,557.47,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Coal,Freight Rake,192,10,1920,1672.73,10.33,20.35,145.27,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Coal,Belly Cargo (Domestic),126.2,10,1261.6,10257.39,4.88,1993.33,14228.37,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Coal,25-40t,156.2,20,3124.0,4830.26,5.26,124.96,891.95,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Coal,Freight Rake,192,20,3840,2945.21,9.99,40.7,290.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Coal,Belly Cargo (Domestic),126.2,20,2523.2,19497.89,5.32,3986.65,28456.73,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Coal,>40t,156.2,50,7809.9,11823.79,4.61,312.4,2229.88,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Coal,Freight Rake,192,50,9600,7854.64,10.05,101.76,726.36,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Coal,Belly Cargo (Domestic),126.2,50,6308.0,50834.02,5.39,9966.63,71141.83,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Cement,12-16t,156.2,5,781.0,1708.91,4.68,39.05,278.74,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Cement,Freight Rake,192,5,960,786.97,10.23,10.18,72.64,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Cement,Belly Cargo (Domestic),126.2,5,630.8,4973.71,5.04,996.66,7114.18,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Cement,12-16t,156.2,10,1562.0,3814.92,5.02,78.1,557.47,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Cement,Freight Rake,192,10,1920,1548.62,10.02,20.35,145.27,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Cement,Belly Cargo (Domestic),126.2,10,1261.6,9777.83,4.99,1993.33,14228.37,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Cement,25-40t,156.2,20,3124.0,4309.36,4.97,124.96,891.95,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Cement,Freight Rake,192,20,3840,2993.14,9.72,40.7,290.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Cement,Belly Cargo (Domestic),126.2,20,2523.2,19344.02,5.24,3986.65,28456.73,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Cement,>40t,156.2,50,7809.9,10530.36,5.22,312.4,2229.88,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Cement,Freight Rake,192,50,9600,8270.55,9.57,101.76,726.36,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Cement,Belly Cargo (Domestic),126.2,50,6308.0,50127.0,5.26,9966.63,71141.83,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Containerized Goods,12-16t,156.2,5,781.0,3507.73,4.62,39.05,278.74,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Containerized Goods,Freight Rake,192,5,960,1793.21,10.07,10.18,72.64,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Containerized Goods,Belly Cargo (Domestic),126.2,5,630.8,11277.28,5.33,996.66,7114.18,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Containerized Goods,12-16t,156.2,10,1562.0,7898.31,4.66,78.1,557.47,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Containerized Goods,Freight Rake,192,10,1920,3136.56,9.93,20.35,145.27,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Containerized Goods,Belly Cargo (Domestic),126.2,10,1261.6,22331.88,5.14,1993.33,14228.37,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Containerized Goods,25-40t,156.2,20,3124.0,9983.95,5.04,124.96,891.95,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Containerized Goods,Freight Rake,192,20,3840,7225.02,9.6,40.7,290.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Containerized Goods,Belly Cargo (Domestic),126.2,20,2523.2,44473.65,5.06,3986.65,28456.73,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Containerized Goods,>40t,156.2,50,7809.9,25592.79,4.71,312.4,2229.88,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Containerized Goods,Freight Rake,192,50,9600,15932.97,9.95,101.76,726.36,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Containerized Goods,Belly Cargo (Domestic),126.2,50,6308.0,111620.93,5.02,9966.63,71141.83,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,General Goods,12-16t,156.2,5,781.0,2752.49,5.24,39.05,278.74,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,General Goods,Freight Rake,192,5,960,1293.72,10.36,10.18,72.64,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,General Goods,Belly Cargo (Domestic),126.2,5,630.8,8920.08,4.88,996.66,7114.18,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,General Goods,12-16t,156.2,10,1562.0,6373.61,5.17,78.1,557.47,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,General Goods,Freight Rake,192,10,1920,2807.14,10.43,20.35,145.27,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,General Goods,Belly Cargo (Domestic),126.2,10,1261.6,18894.15,4.95,1993.33,14228.37,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,General Goods,25-40t,156.2,20,3124.0,7413.67,4.68,124.96,891.95,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,General Goods,Freight Rake,192,20,3840,5139.71,9.56,40.7,290.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,General Goods,Belly Cargo (Domestic),126.2,20,2523.2,34469.73,5.46,3986.65,28456.73,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,General Goods,>40t,156.2,50,7809.9,17714.7,5.13,312.4,2229.88,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,General Goods,Freight Rake,192,50,9600,12962.01,9.92,101.76,726.36,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,General Goods,Belly Cargo (Domestic),126.2,50,6308.0,96389.26,5.46,9966.63,71141.83,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Automobile Parts,12-16t,156.2,5,781.0,5423.04,5.08,39.05,278.74,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Automobile Parts,Freight Rake,192,5,960,2283.19,9.8,10.18,72.64,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Automobile Parts,Belly Cargo (Domestic),126.2,5,630.8,17878.9,5.21,996.66,7114.18,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Automobile Parts,12-16t,156.2,10,1562.0,10816.97,5.1,78.1,557.47,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Automobile Parts,Freight Rake,192,10,1920,4490.87,10.08,20.35,145.27,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Automobile Parts,Belly Cargo (Domestic),126.2,10,1261.6,32711.72,5.38,1993.33,14228.37,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Automobile Parts,25-40t,156.2,20,3124.0,12819.33,5.27,124.96,891.95,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Automobile Parts,Freight Rake,192,20,3840,9017.24,9.69,40.7,290.55,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Automobile Parts,Belly Cargo (Domestic),126.2,20,2523.2,66628.96,5.27,3986.65,28456.73,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Pune,Road,Automobile Parts,>40t,156.2,50,7809.9,32583.48,4.61,312.4,2229.88,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Pune,Rail,Automobile Parts,Freight Rake,192,50,9600,25675.77,9.75,101.76,726.36,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Deccan Express)
Mumbai,Pune,Air,Automobile Parts,Belly Cargo (Domestic),126.2,50,6308.0,166555.53,5.23,9966.63,71141.83,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Ahmedabad,Road,Coal,12-16t,572.0,5,2859.9,6304.98,15.5,142.99,1020.69,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Ahmedabad,Rail,Coal,Freight Rake,481,5,2405,1982.76,15.83,25.49,181.97,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Lokshakti Express)
Mumbai,Ahmedabad,Air,Coal,Belly Cargo (Domestic),462.0,5,2309.9,18377.15,5.72,3649.63,26051.08,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Ahmedabad,Road,Coal,12-16t,572.0,10,5719.7,12147.16,15.04,285.99,2041.37,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Ahmedabad,Rail,Coal,Freight Rake,481,10,4810,4059.67,14.86,50.99,363.94,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Lokshakti Express)
Mumbai,Ahmedabad,Air,Coal,Belly Cargo (Domestic),462.0,10,4619.8,37628.72,5.75,7299.27,52102.16,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Ahmedabad,Road,Coal,25-40t,572.0,20,11439.5,15038.61,15.2,457.58,3266.2,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Ahmedabad,Rail,Coal,Freight Rake,481,20,9620,8532.48,15.92,101.97,727.88,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Lokshakti Express)
Mumbai,Ahmedabad,Air,Coal,Belly Cargo (Domestic),462.0,20,9239.6,71461.64,5.39,14598.53,104204.31,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Ahmedabad,Road,Coal,>40t,572.0,50,28598.7,39180.61,16.36,1143.95,8165.5,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Ahmedabad,Rail,Coal,Freight Rake,481,50,24050,20959.51,15.74,254.93,1819.69,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Lokshakti Express)
Mumbai,Ahmedabad,Air,Coal,Belly Cargo (Domestic),462.0,50,23098.9,190227.73,5.35,36496.33,260510.78,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Ahmedabad,Road,Cement,12-16t,572.0,5,2859.9,6779.68,15.8,142.99,1020.69,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Ahmedabad,Rail,Cement,Freight Rake,481,5,2405,1994.22,15.91,25.49,181.97,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Lokshakti Express)
Mumbai,Ahmedabad,Air,Cement,Belly Cargo (Domestic),462.0,5,2309.9,19967.3,5.25,3649.63,26051.08,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Ahmedabad,Road,Cement,12-16t,572.0,10,5719.7,13517.05,14.81,285.99,2041.37,0.05,3.71,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Ahmedabad,Rail,Cement,Freight Rake,481,10,4810,4020.85,15.83,50.99,363.94,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Lokshakti Express)
Mumbai,Ahmedabad,Air,Cement,Belly Cargo (Domestic),462.0,10,4619.8,35907.92,5.32,7299.27,52102.16,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
Mumbai,Ahmedabad,Road,Cement,25-40t,572.0,20,11439.5,15026.63,15.43,457.58,3266.2,0.04,2.38,Haversine x1.30 circuity factor (Ballou et al. 2002 / Wang & Wu 2018)
Mumbai,Ahmedabad,Rail,Cement,Freight Rake,481,20,9620,7551.39,15.33,101.97,727.88,0.0106,1.36,REAL: uploaded Indian Railways dataset (train: Lokshakti Express)
Mumbai,Ahmedabad,Air,Cement,Belly Cargo (Domestic),462.0,20,9239.6,80855.34,5.38,14598.53,104204.31,1.58,14.0,Haversine x1.05 (ICAO GCD-consistent methodology)
